Technology,Plan,Year,Capacity_MW
Export,PDP8,2042,0
Export,PDP8,2043,0
Export,PDP8,2044,0
Export,PDP8,2045,0
Export,PDP8,2046,0
Export,PDP8,2047,0
Export,PDP8,2048,0
Export,PDP8,2049,0
Export,PDP8,2050,0
Gas,PDP8,2000,1880
Gas,PDP8,2001,1880
Gas,PDP8,2002,1880
Gas,PDP8,2003,2360
Gas,PDP8,2004,3570
Gas,PDP8,2005,4300
Gas,PDP8,2006,4300
Gas,PDP8,2007,4770
Gas,PDP8,2008,6270
Gas,PDP8,2009,7070
Gas,PDP8,2010,7070
Gas,PDP8,2011,7820
Gas,PDP8,2012,7820
Gas,PDP8,2013,7820
Gas,PDP8,2014,7820
Gas,PDP8,2015,8150
Gas,PDP8,2016,8150
Gas,PDP8,2017,8150
Gas,PDP8,2018,8150
Gas,PDP8,2019,8150
Gas,PDP8,2020,8150
Gas,PDP8,2021,8150
Gas,PDP8,2022,8150
Gas,PDP8,2023,8150
Gas,PDP8,2024,8150
Gas,PDP8,2025,8921
Gas,PDP8,2026,10186.8
Gas,PDP8,2027,11452.6
Gas,PDP8,2028,12718.4
Gas,PDP8,2029,13984.2
Gas,PDP8,2030,15250
Gas,PDP8,2031,17192.5
Gas,PDP8,2032,19135
Gas,PDP8,2033,21077.5
Gas,PDP8,2034,23020
Gas,PDP8,2035,24962.5
Gas,PDP8,2036,26905
Gas,PDP8,2037,28847.5
Gas,PDP8,2038,30790
Gas,PDP8,2039,32732.5
Gas,PDP8,2040,34675
Gas,PDP8,2041,36617.5
Gas,PDP8,2042,38560
Gas,PDP8,2043,40502.5
Gas,PDP8,2044,42445
Gas,PDP8,2045,44387.5
Gas,PDP8,2046,46330
Gas,PDP8,2047,48272.5
Gas,PDP8,2048,50215
Gas,PDP8,2049,52157.5
Gas,PDP8,2050,54100
GAS_H2,PDP8,2000,NA
GAS_H2,PDP8,2001,NA
GAS_H2,PDP8,2002,NA
GAS_H2,PDP8,2003,NA
GAS_H2,PDP8,2004,NA
GAS_H2,PDP8,2005,NA
GAS_H2,PDP8,2006,NA
GAS_H2,PDP8,2007,NA
GAS_H2,PDP8,2008,NA
GAS_H2,PDP8,2009,NA
GAS_H2,PDP8,2010,NA
GAS_H2,PDP8,2011,NA
GAS_H2,PDP8,2012,NA
GAS_H2,PDP8,2013,NA
GAS_H2,PDP8,2014,NA
GAS_H2,PDP8,2015,NA
GAS_H2,PDP8,2016,NA
GAS_H2,PDP8,2017,NA
GAS_H2,PDP8,2018,NA
GAS_H2,PDP8,2019,NA
GAS_H2,PDP8,2020,NA
GAS_H2,PDP8,2021,NA
GAS_H2,PDP8,2022,NA
GAS_H2,PDP8,2023,NA
GAS_H2,PDP8,2024,NA
GAS_H2,PDP8,2025,0
GAS_H2,PDP8,2026,0
GAS_H2,PDP8,2027,0
GAS_H2,PDP8,2028,0
GAS_H2,PDP8,2029,0
GAS_H2,PDP8,2030,0
GAS_H2,PDP8,2031,0
GAS_H2,PDP8,2032,0
GAS_H2,PDP8,2033,0
GAS_H2,PDP8,2034,0
GAS_H2,PDP8,2035,0
GAS_H2,PDP8,2036,0
GAS_H2,PDP8,2037,0
GAS_H2,PDP8,2038,0
GAS_H2,PDP8,2039,0
GAS_H2,PDP8,2040,0
GAS_H2,PDP8,2041,0
GAS_H2,PDP8,2042,0
GAS_H2,PDP8,2043,0
GAS_H2,PDP8,2044,0
GAS_H2,PDP8,2045,0
GAS_H2,PDP8,2046,0
GAS_H2,PDP8,2047,0
GAS_H2,PDP8,2048,0
GAS_H2,PDP8,2049,0
GAS_H2,PDP8,2050,0
Hydro,PDP8,2000,3270
Hydro,PDP8,2001,3810
Hydro,PDP8,2002,4120
Hydro,PDP8,2003,4170
Hydro,PDP8,2004,4210
Hydro,PDP8,2005,4270
Hydro,PDP8,2006,4510
Hydro,PDP8,2007,4910
Hydro,PDP8,2008,5910
Hydro,PDP8,2009,7180
Hydro,PDP8,2010,8650
Hydro,PDP8,2011,10080
Hydro,PDP8,2012,13550
Hydro,PDP8,2013,14720
Hydro,PDP8,2014,15750
Hydro,PDP8,2015,16630
Hydro,PDP8,2016,17850
Hydro,PDP8,2017,17810
Hydro,PDP8,2018,17990
Hydro,PDP8,2019,20330
Hydro,PDP8,2020,20820
Hydro,PDP8,2021,21850
Hydro,PDP8,2022,22530
Hydro,PDP8,2023,22920
Hydro,PDP8,2024,23710
Hydro,PDP8,2025,24600
Hydro,PDP8,2026,25549.2
Hydro,PDP8,2027,26498.4
Hydro,PDP8,2028,27447.6
Hydro,PDP8,2029,28396.8
Hydro,PDP8,2030,29346
Hydro,PDP8,2031,29675.8
Hydro,PDP8,2032,30005.6
Hydro,PDP8,2033,30335.4
Hydro,PDP8,2034,30665.2
Hydro,PDP8,2035,30995
Hydro,PDP8,2036,31324.8
Hydro,PDP8,2037,31654.6
Hydro,PDP8,2038,31984.4
Hydro,PDP8,2039,32314.2
Hydro,PDP8,2040,32644
Hydro,PDP8,2041,32973.8
Hydro,PDP8,2042,33303.6
Hydro,PDP8,2043,33633.4
Hydro,PDP8,2044,33963.2
Hydro,PDP8,2045,34293
Hydro,PDP8,2046,34622.8
Hydro,PDP8,2047,34952.6
Hydro,PDP8,2048,35282.4
Hydro,PDP8,2049,35612.2
Hydro,PDP8,2050,35942
Import,PDP8,2000,NA
Import,PDP8,2001,NA
Import,PDP8,2002,NA
Import,PDP8,2003,NA
Import,PDP8,2004,NA
Import,PDP8,2005,NA
Import,PDP8,2006,NA
Import,PDP8,2007,NA
Import,PDP8,2008,NA
Import,PDP8,2009,NA
Import,PDP8,2010,NA
Import,PDP8,2011,NA
Import,PDP8,2012,NA
Import,PDP8,2013,NA
Import,PDP8,2014,NA
Import,PDP8,2015,NA
Import,PDP8,2016,NA
Import,PDP8,2017,NA
Import,PDP8,2018,NA
Import,PDP8,2019,NA
Import,PDP8,2020,NA
Import,PDP8,2021,NA
Import,PDP8,2022,NA
Import,PDP8,2023,NA
Import,PDP8,2024,NA
Import,PDP8,2025,1222
Import,PDP8,2026,1977.6
Import,PDP8,2027,2733.2
Import,PDP8,2028,3488.7999999999997
Import,PDP8,2029,4244.4
